city,lat,lng,country,iso2,admin_name,capacity_kg,investment_costs
Epe,52.1417,7.0511,Germany,DE,North Rhine-Westphalia,9142372881,569492
Xanten,51.6572,6.4597,Germany,DE,North Rhine-Westphalia,9142372881,569492
Bremen-Lesum,53.2144,8.6467,Germany,DE,Bremen,5042816788,314124
Etzel,53.3894,7.5592,Germany,DE,Lower Saxony,5042816788,314124
Harsefeld,53.4403,9.4777,Germany,DE,Lower Saxony,5042816788,314124
Huntdorf,53.1231,7.8623,Germany,DE,Lower Saxony,5042816788,314124
Jemgum,53.2186,7.3122,Germany,DE,Lower Saxony,5042816788,314124
Krummhörn,53.3539,7.1192,Germany,DE,Lower Saxony,5042816788,314124
Nüttermoor,53.2196,7.1145,Germany,DE,Lower Saxony,5042816788,314124
Bernburg,51.7956,11.7256,Germany,DE,Saxony-Anhalt,4571186441,284746
Straßfurt,51.8328,11.5548,Germany,DE,Saxony-Anhalt,4571186441,284746
Bad Lachstädt,51.4843,11.74177,Germany,DE,Saxony-Anhalt,4571186441,284746
